ts,Temperature,Humidity
1624887000,22.4,34.7
1624886940,22.5,34.8
1624886880,22.5,34.1
1624886820,22.7,32.8
1624886760,23.2,35.3
1624886700,23.0,33.0
1624886640,22.7,33.0
1624886580,22.8,33.7
1624886520,22.8,32.5
1624886460,22.7,32.8
1624886400,22.7,33.6
1624886340,22.7,32.6
1624886280,23.1,33.0
1624886220,22.8,33.0
1624886160,22.6,33.4
1624886100,22.8,33.1
1624886040,22.8,32.8
1624885980,22.8,33.3
1624885920,23.1,33.6
1624885860,22.9,32.9
1624885800,22.9,32.6
1624885740,23.6,33.9
1624885680,23.5,33.9
1624885620,23.4,34.5
1624885560,23.3,36.1
1624885500,23.0,33.7
1624885440,22.8,33.6
1624885380,22.9,33.9
1624885320,22.6,33.5
1624885260,22.9,33.3
1624885200,23.2,33.5
1624885140,23.0,32.3
1624885080,23.1,32.4
1624885020,23.3,32.5
1624884960,23.3,34.0
1624884900,23.3,35.9
1624884840,23.0,33.7
1624884780,23.1,33.5
1624884720,22.7,33.4
1624884660,23.3,33.4
1624884600,22.7,33.6
1624884540,22.6,33.1
1624884480,22.7,32.2
1624884420,22.7,32.4
1624884360,23.1,34.0
1624884300,23.1,32.8
1624884240,23.1,34.2
1624884180,23.0,33.3
1624884120,22.8,31.7
1624884060,22.7,32.3
1624884000,22.6,32.2
1624883940,22.6,32.0
1624883880,22.9,32.3
1624883820,23.3,31.8
1624883760,23.2,32.8
1624883700,23.3,31.1
1624883640,23.3,30.6
1624883580,23.6,32.8
1624883520,23.5,32.3
1624883460,23.5,33.1
1624883400,23.5,33.7
1624883340,23.4,34.7
1624883280,22.9,32.4
1624883220,22.8,32.3
1624883160,23.0,32.8
1624883100,22.6,32.2
1624883040,22.8,32.2
1624882980,23.3,31.9
1624882920,23.8,32.8
1624882860,23.8,32.6
1624882800,23.8,33.4
1624882740,23.8,33.3
1624882680,23.8,34.0
1624882620,23.8,33.6
1624882560,23.7,35.1
1624882500,23.8,35.2
1624882440,23.7,34.1
1624882380,22.9,31.7
1624882320,23.0,33.1
1624882260,23.0,35.7
1624882200,23.5,40.7
1624882140,23.8,43.4
1624882080,23.8,44.8
1624882020,24.0,52.5
1624881960,22.2,37.5
1624881900,22.1,40.7
1624881840,22.2,43.5
1624881780,22.2,35.9
1624881720,22.1,35.9
1624881660,22.1,35.9
1624881600,22.2,35.3
1624881540,22.2,37.0
1624881480,22.4,36.1
1624881420,22.3,35.0
1624881360,22.3,34.6
1624881300,22.4,34.2
1624881240,22.6,34.0
1624881180,22.8,35.0
1624881120,22.5,32.8
1624881060,22.6,34.4
1624881000,22.9,37.3
1624880940,22.2,34.4
